date,usdhkd,usdcny,usdhkd_minus_7_80,cu_position
2015-10-29,7.749520,6.349300,-0.050480,strong_side
2015-10-30,7.749550,6.346700,-0.050450,strong_side
2015-11-02,7.749540,6.308100,-0.050460,strong_side
2015-11-03,7.749590,6.327400,-0.050410,strong_side
2015-11-04,7.750160,6.326100,-0.049840,inside
2015-11-05,7.749960,6.325900,-0.050040,strong_side
2015-11-06,7.750270,6.336200,-0.049730,inside
2015-11-09,7.751660,6.343100,-0.048340,inside
2015-11-10,7.751320,6.352200,-0.048680,inside
2015-11-11,7.750980,6.351800,-0.049020,inside
2015-11-12,7.749950,6.357500,-0.050050,strong_side
2015-11-13,7.749770,6.359300,-0.050230,strong_side
2015-11-16,7.750080,6.363800,-0.049920,inside
2015-11-17,7.750050,6.361200,-0.049950,inside
2015-11-18,7.750510,6.368600,-0.049490,inside
2015-11-19,7.750210,6.374900,-0.049790,inside
2015-11-20,7.750060,6.373000,-0.049940,inside
2015-11-23,7.749690,6.375000,-0.050310,strong_side
2015-11-24,7.749630,6.379300,-0.050370,strong_side
2015-11-25,7.750010,6.379800,-0.049990,inside
2015-11-26,7.749810,6.379200,-0.050190,strong_side
2015-11-27,7.749810,6.379600,-0.050190,strong_side
2015-11-30,7.749950,6.385000,-0.050050,strong_side
2015-12-01,7.752010,6.388200,-0.047990,inside
2015-12-02,7.751090,6.388800,-0.048910,inside
2015-12-03,7.749670,6.388800,-0.050330,strong_side
2015-12-04,7.749400,6.387500,-0.050600,strong_side
2015-12-07,7.749480,6.391100,-0.050520,strong_side
2015-12-08,7.749950,6.398200,-0.050050,strong_side
2015-12-09,7.749570,6.407200,-0.050430,strong_side
2015-12-10,7.750110,6.418000,-0.049890,inside
2015-12-11,7.749570,6.427800,-0.050430,strong_side
2015-12-14,7.749600,6.445300,-0.050400,strong_side
2015-12-15,7.749460,6.449000,-0.050540,strong_side
2015-12-16,7.750240,6.451000,-0.049760,inside
2015-12-17,7.749770,6.463300,-0.050230,strong_side
2015-12-18,7.752200,6.473700,-0.047800,inside
2015-12-21,7.752160,6.471500,-0.047840,inside
2015-12-22,7.751960,6.470800,-0.048040,inside
2015-12-23,7.751910,6.468800,-0.048090,inside
2015-12-24,7.750250,6.467800,-0.049750,inside
2015-12-25,7.750910,6.467300,-0.049090,inside
2015-12-28,7.750400,6.467300,-0.049600,inside
2015-12-29,7.750310,6.478700,-0.049690,inside
2015-12-30,7.750060,6.474800,-0.049940,inside
2015-12-31,7.750710,6.481200,-0.049290,inside
2016-01-01,7.750110,6.483700,-0.049890,inside
2016-01-04,7.750370,6.483700,-0.049630,inside
2016-01-05,7.751260,6.525400,-0.048740,inside
2016-01-06,7.751110,6.512500,-0.048890,inside
2016-01-07,7.752160,6.546700,-0.047840,inside
2016-01-08,7.754760,6.582900,-0.045240,inside
2016-01-11,7.762230,6.586500,-0.037770,inside
2016-01-12,7.762890,6.559500,-0.037110,inside
2016-01-13,7.761660,6.562500,-0.038340,inside
2016-01-14,7.759860,6.565400,-0.040140,inside
2016-01-15,7.781360,6.580200,-0.018640,inside
2016-01-18,7.792300,6.574900,-0.007700,inside
2016-01-19,7.801180,6.568900,0.001180,inside
2016-01-20,7.821760,6.568600,0.021760,inside
2016-01-21,7.818540,6.568400,0.018540,inside
2016-01-22,7.811730,6.570000,0.011730,inside
